"desc","zip","title"
"BRADFIELD RD & SUSQUEHANNA RD; ABINGTON; 2020-01-01 @ 00:04:06",19001,"Fire: FIRE ALARM"
"E CITY AVE & PRESIDENTIAL BLVD; LOWER MERION; 2020-01-01 @ 00:02:25",19004,"Traffic: VEHICLE ACCIDENT"
"MAPLE AVE AND W 6TH ST;  LANSDALE; 2020-01-01 @ 00:07:21",19446,"EMS: LACERATIONS"
"DEKALB ST; BRIDGEPORT; 2020-01-01 @ 00:07:53",NA,"Fire: WOODS/FIELD FIRE"
"BEECH ST;  POTTSTOWN; 2020-01-01 @ 00:20:15",19464,"EMS: STABBING"
"DEKALB ST AND W 5TH ST; BRIDGEPORT; 2020-01-01 @ 00:20:36",19405,"Traffic: VEHICLE ACCIDENT"
"DEKALB ST; BRIDGEPORT; 2020-01-01 @ 00:23:38",NA,"Fire: VEHICLE ACCIDENT"
"DEKALB ST & W 5TH ST; BRIDGEPORT; 2020-01-01 @ 00:24:59",19405,"Traffic: VEHICLE ACCIDENT"
"MONTGOMERY AVE & MERION RD;  LOWER MERION; 2020-01-01 @ 00:30:21",19066,"EMS: RESPIRATORY EMERGENCY"
"SANDPIPER CT & CHALET RD;  NEW HANOVER; 2020-01-01 @ 00:31:12",19525,"EMS: DIABETIC EMERGENCY"
"GREEN HILL DR; MARLBOROUGH; 2020-01-01 @ 00:32:27",18054,"Fire: UNKNOWN TYPE FIRE"
"MONTGOMERY AVE;  LOWER MERION; 2020-01-01 @ 00:36:54",NA,"EMS: CARDIAC EMERGENCY"
"KYNLYN CIR & ACORN AVE;  TELFORD; 2020-01-01 @ 00:38:08",18969,"EMS: FALL VICTIM"
"PETERMAN LN & CEDAR HILL RD;  LOWER GWYNEDD; 2020-01-01 @ 00:45:19",19002,"EMS: OVERDOSE"
"LOCUST ST & DOGWOOD DR;  NORRISTOWN; 2020-01-01 @ 00:44:48",19401,"EMS: RESPIRATORY EMERGENCY"
"ALLENTOWN RD AND WOODLAWN DR;  TOWAMENCIN; 2020-01-01 @ 00:46:32",19446,"EMS: FALL VICTIM"
"GRACE ST; POTTSTOWN; 2020-01-01 @ 00:47:40",19464,"Fire: TRASH/DUMPSTER FIRE"
"DEKALB ST & W 5TH ST; BRIDGEPORT; 2020-01-01 @ 00:46:26",19405,"Traffic: VEHICLE ACCIDENT"
"WILLOW BROOK LN & DONALD DR;  NEW HANOVER; 2020-01-01 @ 00:51:27",19464,"EMS: OVERDOSE"
"MT VERNON ST & UNNAMED ALY;  LANSDALE; 2020-01-01 @ 00:54:12",19446,"EMS: SUBJECT IN PAIN"
"MONTGOMERY AVE & RADNOR ST;  LOWER MERION; 2020-01-01 @ 00:55:02",19010,"EMS: SYNCOPAL EPISODE"
"ASPEN DR & BUTTERNUT DR; UPPER POTTSGROVE; 2020-01-01 @ 01:03:55",19464,"Fire: BUILDING FIRE"
"WINDING WAY & DERWEN RD;  LOWER MERION; 2020-01-01 @ 01:06:45",19066,"EMS: CARDIAC EMERGENCY"
"SUMMIT AVE & LEEDOM ST;  JENKINTOWN; 2020-01-01 @ 01:06:00",19046,"EMS: LACERATIONS"
"SHANNONDELL DR AND SHANNONDELL BLVD;  LOWER PROVIDENCE; 2020-01-01 @ 01:08:12",19403,"EMS: HEAD INJURY"
"BRIDGE RD & SERENDIPITY WAY;  SKIPPACK; 2020-01-01 @ 01:14:17",19473,"EMS: EMS SPECIAL SERVICE"
"HIGH ST & S WASHINGTON ST;  POTTSTOWN; 2020-01-01 @ 01:12:29",19464,"EMS: HEAD INJURY"
"HIGH ST AND S WASHINGTON ST; POTTSTOWN; 2020-01-01 @ 01:19:47",19464,"Fire: FIRE SPECIAL SERVICE"
"MOORE ST;  NORRISTOWN; 2020-01-01 @ 01:25:04",19401,"EMS: ASSAULT VICTIM"
"LIMERICK RD & SAYLOR RD;  LIMERICK; 2020-01-01 @ 01:25:36",19473,"EMS: RESPIRATORY EMERGENCY"
"EASTON RD & BRADFIELD RD; ABINGTON; 2020-01-01 @ 01:26:50",19001,"Traffic: DISABLED VEHICLE"
"HENNING RD & FINN RD;  NEW HANOVER; 2020-01-01 @ 01:45:19",18074,"EMS: DIABETIC EMERGENCY"
"CRESSON BLVD & EGYPT RD;  UPPER PROVIDENCE; 2020-01-01 @ 01:51:10",19426,"EMS: OVERDOSE"
"OAKWOOD DR & OAKWOOD TER;  LOWER MERION; 2020-01-01 @ 02:00:32",19072,"EMS: MEDICAL ALERT ALARM"
"HIGH ST & S YORK ST;  POTTSTOWN; 2020-01-01 @ 01:58:01",19464,"EMS: OVERDOSE"
"CAMBRIDGE RD & OVERHILL RD;  LOWER MERION; 2020-01-01 @ 02:11:15",19004,"EMS: CARDIAC ARREST"
"VALLEY FORGE RD & BOYD AVE;  UPPER GWYNEDD; 2020-01-01 @ 02:41:47",19446,"EMS: RESPIRATORY EMERGENCY"
"RIDGE PIKE;  WHITEMARSH; 2020-01-01 @ 02:42:23",NA,"EMS: UNKNOWN MEDICAL EMERGENCY"
"BEECH ST & N WARREN ST;  POTTSTOWN; 2020-01-01 @ 02:54:28",19464,"EMS: UNKNOWN MEDICAL EMERGENCY"
"WILTSHIRE RD & CITY AVE; LOWER MERION; 2020-01-01 @ 03:01:13",19151,"Fire: FIRE ALARM"
"OLD SKIPPACK RD & HENDRICKS STATION RD;  UPPER SALFORD; 2020-01-01 @ 03:10:16",19438,"EMS: RESPIRATORY EMERGENCY"
"AIRY ST & HIGH ALY;  NORRISTOWN; 2020-01-01 @ 03:20:47",19401,"EMS: ASSAULT VICTIM"
"KING ST;  POTTSTOWN; 2020-01-01 @ 03:33:24",19464,"EMS: ASSAULT VICTIM"
"SCHUYLKILL EXPY & RAMP HOLLOW RD TO I76 EB; LOWER MERION; 2020-01-01 @ 03:59:38",NA,"Fire: VEHICLE ACCIDENT"
"SUNNYSIDE AVE & HIGHLEY RD;  LOWER PROVIDENCE; 2020-01-01 @ 03:56:50",19403,"EMS: ALLERGIC REACTION"
"SCHUYLKILL EXPY & RAMP HOLLOW RD TO I76 EB; LOWER MERION; 2020-01-01 @ 03:59:33",NA,"Traffic: VEHICLE ACCIDENT"
"DUNCAN DR & ALPIN DR;  UPPER DUBLIN; 2020-01-01 @ 04:07:55",19025,"EMS: CVA/STROKE"
"BUCKWALTER RD & BUCKWALTER CIR;  UPPER PROVIDENCE; 2020-01-01 @ 04:08:28",19468,"EMS: FALL VICTIM"
"HIGH ST & S FRANKLIN ST;  POTTSTOWN; 2020-01-01 @ 04:41:30",19464,"EMS: SUBJECT IN PAIN"
"SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; 2020-01-01 @ 05:10:32",19403,"EMS: HEMORRHAGING"
"EBERLY ST AND SKROBUL RD;  UPPER MORELAND; 2020-01-01 @ 05:06:57",19040,"EMS: ABDOMINAL PAINS"
"COLLEGEVILLE RD & RIVER RD;  LOWER PROVIDENCE; 2020-01-01 @ 05:09:46",19426,"EMS: DIABETIC EMERGENCY"
"CONSHOHOCKEN STATE RD & MARY WATERS FORD RD; LOWER MERION; 2020-01-01 @ 05:20:48",19004,"Traffic: DISABLED VEHICLE"
"SCHUYLKILL RD & RAMP RT724 TO RT422; CHESTER COUNTY; 2020-01-01 @ 05:25:24",NA,"Traffic: DISABLED VEHICLE"
"POWELL ST & E LOGAN ST; NORRISTOWN; 2020-01-01 @ 05:22:22",19401,"Traffic: VEHICLE ACCIDENT"
"4TH ST & DEPOT ST;  BRIDGEPORT; 2020-01-01 @ 05:26:01",19405,"EMS: ABDOMINAL PAINS"
"MARSHALL ST & STANBRIDGE ST; NORRISTOWN; 2020-01-01 @ 05:28:50",19401,"Traffic: DISABLED VEHICLE"
"PHILADELPHIA AVE & AMMON AVE;  DOUGLASS; 2020-01-01 @ 05:35:14",19525,"EMS: FEVER"
"PENNSYLVANIA TPKE & RAMP I276 WB TO I476; WHITEMARSH; 2020-01-01 @ 05:40:14",NA,"Traffic: ROAD OBSTRUCTION"
"PENNSYLVANIA TPKE & ISABELLA ST ACCESS GATE; PLYMOUTH; 2020-01-01 @ 05:42:30",NA,"Traffic: DISABLED VEHICLE"
"NORTH HILLS AVE & EASTVIEW DR;  UPPER DUBLIN; 2020-01-01 @ 06:19:29",19038,"EMS: GENERAL WEAKNESS"
"LAFAYETTE ST & SWEDE ST;  NORRISTOWN; 2020-01-01 @ 06:30:12",19401,"EMS: CVA/STROKE"
"HIGH ST & S YORK ST;  POTTSTOWN; 2020-01-01 @ 06:41:14",19464,"EMS: EMS SPECIAL SERVICE"
"SCHUYLKILL EXPY & RAMP RT202 NB TO I76 EB; UPPER MERION; 2020-01-01 @ 06:49:52",NA,"Traffic: DISABLED VEHICLE"
"SCHUYLKILL EXPY & RAMP RT202 NB TO I76 EB; UPPER MERION; 2020-01-01 @ 06:49:59",NA,"Traffic: DISABLED VEHICLE"
"BUCHERT RD & HIDDEN VALLEY DR;  DOUGLASS; 2020-01-01 @ 06:56:38",19525,"EMS: FALL VICTIM"
"BIG RD & FREDERICK DR;  UPPER FREDERICK; 2020-01-01 @ 07:10:43",19492,"EMS: SUBJECT IN PAIN"
"METKA RD & ZIEGLER RD;  LIMERICK; 2020-01-01 @ 07:29:49",19468,"EMS: FALL VICTIM"
"MAURICE LN & EMMA WAY; HORSHAM; 2020-01-01 @ 07:37:22",19040,"Fire: FIRE ALARM"
