"","X","desc","zip","title","address","towns","dt","date","time","responder","reason"
"1",1,"BRADFIELD RD & SUSQUEHANNA RD; ABINGTON; 2020-01-01 @ 00:04:06",19001,"Fire: FIRE ALARM","BRADFIELD RD & SUSQUEHANNA RD"," ABINGTON"," 2020-01-01 @ 00:04:06"," 2020-01-01 "," 00:04:06","Fire"," FIRE ALARM"
"2",2,"E CITY AVE & PRESIDENTIAL BLVD; LOWER MERION; 2020-01-01 @ 00:02:25",19004,"Traffic: VEHICLE ACCIDENT","E CITY AVE & PRESIDENTIAL BLVD"," LOWER MERION"," 2020-01-01 @ 00:02:25"," 2020-01-01 "," 00:02:25","Traffic"," VEHICLE ACCIDENT"
"3",3,"MAPLE AVE AND W 6TH ST;  LANSDALE; 2020-01-01 @ 00:07:21",19446,"EMS: LACERATIONS","MAPLE AVE & W 6TH ST","  LANSDALE"," 2020-01-01 @ 00:07:21"," 2020-01-01 "," 00:07:21","EMS"," LACERATIONS"
"4",4,"DEKALB ST; BRIDGEPORT; 2020-01-01 @ 00:07:53",NA,"Fire: WOODS/FIELD FIRE","DEKALB ST"," BRIDGEPORT"," 2020-01-01 @ 00:07:53"," 2020-01-01 "," 00:07:53","Fire"," WOODS/FIELD FIRE"
"5",5,"BEECH ST;  POTTSTOWN; 2020-01-01 @ 00:20:15",19464,"EMS: STABBING","BEECH ST","  POTTSTOWN"," 2020-01-01 @ 00:20:15"," 2020-01-01 "," 00:20:15","EMS"," STABBING"
"6",6,"DEKALB ST AND W 5TH ST; BRIDGEPORT; 2020-01-01 @ 00:20:36",19405,"Traffic: VEHICLE ACCIDENT","DEKALB ST & W 5TH ST"," BRIDGEPORT"," 2020-01-01 @ 00:20:36"," 2020-01-01 "," 00:20:36","Traffic"," VEHICLE ACCIDENT"
"7",7,"DEKALB ST; BRIDGEPORT; 2020-01-01 @ 00:23:38",NA,"Fire: VEHICLE ACCIDENT","DEKALB ST"," BRIDGEPORT"," 2020-01-01 @ 00:23:38"," 2020-01-01 "," 00:23:38","Fire"," VEHICLE ACCIDENT"
"8",8,"DEKALB ST & W 5TH ST; BRIDGEPORT; 2020-01-01 @ 00:24:59",19405,"Traffic: VEHICLE ACCIDENT","DEKALB ST & W 5TH ST"," BRIDGEPORT"," 2020-01-01 @ 00:24:59"," 2020-01-01 "," 00:24:59","Traffic"," VEHICLE ACCIDENT"
"9",9,"MONTGOMERY AVE & MERION RD;  LOWER MERION; 2020-01-01 @ 00:30:21",19066,"EMS: RESPIRATORY EMERGENCY","MONTGOMERY AVE & MERION RD","  LOWER MERION"," 2020-01-01 @ 00:30:21"," 2020-01-01 "," 00:30:21","EMS"," RESPIRATORY EMERGENCY"
"10",10,"SANDPIPER CT & CHALET RD;  NEW HANOVER; 2020-01-01 @ 00:31:12",19525,"EMS: DIABETIC EMERGENCY","SANDPIPER CT & CHALET RD","  NEW HANOVER"," 2020-01-01 @ 00:31:12"," 2020-01-01 "," 00:31:12","EMS"," DIABETIC EMERGENCY"
"11",11,"GREEN HILL DR; MARLBOROUGH; 2020-01-01 @ 00:32:27",18054,"Fire: UNKNOWN TYPE FIRE","GREEN HILL DR"," MARLBOROUGH"," 2020-01-01 @ 00:32:27"," 2020-01-01 "," 00:32:27","Fire"," UNKNOWN TYPE FIRE"
"12",12,"MONTGOMERY AVE;  LOWER MERION; 2020-01-01 @ 00:36:54",NA,"EMS: CARDIAC EMERGENCY","MONTGOMERY AVE","  LOWER MERION"," 2020-01-01 @ 00:36:54"," 2020-01-01 "," 00:36:54","EMS"," CARDIAC EMERGENCY"
"13",13,"KYNLYN CIR & ACORN AVE;  TELFORD; 2020-01-01 @ 00:38:08",18969,"EMS: FALL VICTIM","KYNLYN CIR & ACORN AVE","  TELFORD"," 2020-01-01 @ 00:38:08"," 2020-01-01 "," 00:38:08","EMS"," FALL VICTIM"
