"","desc","zip","title","address","towns","dt"
"1","BRADFIELD RD & SUSQUEHANNA RD; ABINGTON; 2020-01-01 @ 00:04:06",19001,"Fire: FIRE ALARM","BRADFIELD RD & SUSQUEHANNA RD"," ABINGTON"," 2020-01-01 @ 00:04:06"
"2","E CITY AVE & PRESIDENTIAL BLVD; LOWER MERION; 2020-01-01 @ 00:02:25",19004,"Traffic: VEHICLE ACCIDENT","E CITY AVE & PRESIDENTIAL BLVD"," LOWER MERION"," 2020-01-01 @ 00:02:25"
"3","MAPLE AVE AND W 6TH ST;  LANSDALE; 2020-01-01 @ 00:07:21",19446,"EMS: LACERATIONS","MAPLE AVE & W 6TH ST","  LANSDALE"," 2020-01-01 @ 00:07:21"
"4","DEKALB ST; BRIDGEPORT; 2020-01-01 @ 00:07:53",NA,"Fire: WOODS/FIELD FIRE","DEKALB ST"," BRIDGEPORT"," 2020-01-01 @ 00:07:53"
"5","BEECH ST;  POTTSTOWN; 2020-01-01 @ 00:20:15",19464,"EMS: STABBING","BEECH ST","  POTTSTOWN"," 2020-01-01 @ 00:20:15"
"6","DEKALB ST AND W 5TH ST; BRIDGEPORT; 2020-01-01 @ 00:20:36",19405,"Traffic: VEHICLE ACCIDENT","DEKALB ST & W 5TH ST"," BRIDGEPORT"," 2020-01-01 @ 00:20:36"
"7","DEKALB ST; BRIDGEPORT; 2020-01-01 @ 00:23:38",NA,"Fire: VEHICLE ACCIDENT","DEKALB ST"," BRIDGEPORT"," 2020-01-01 @ 00:23:38"
"8","DEKALB ST & W 5TH ST; BRIDGEPORT; 2020-01-01 @ 00:24:59",19405,"Traffic: VEHICLE ACCIDENT","DEKALB ST & W 5TH ST"," BRIDGEPORT"," 2020-01-01 @ 00:24:59"
"9","MONTGOMERY AVE & MERION RD;  LOWER MERION; 2020-01-01 @ 00:30:21",19066,"EMS: RESPIRATORY EMERGENCY","MONTGOMERY AVE & MERION RD","  LOWER MERION"," 2020-01-01 @ 00:30:21"
"10","SANDPIPER CT & CHALET RD;  NEW HANOVER; 2020-01-01 @ 00:31:12",19525,"EMS: DIABETIC EMERGENCY","SANDPIPER CT & CHALET RD","  NEW HANOVER"," 2020-01-01 @ 00:31:12"
