Country,GDP
Afghanistan,189
Albania,770
Algeria,1452
Andorra,23359
Angola,466
Anguilla,10583
Antigua and Barbuda,7841
Argentina,7993
Armenia,426
Aruba,16442
Australia,21635
Austria,30169
Azerbaijan,396
Bahamas,18264
Bahrain,12040
Bangladesh,319
Barbados,8585
Belarus,1412
Belgium,28427
Belize,2834
Benin,397
Bermuda,40780
Bhutan,562
Bolivia,887
Bosnia and Herzegovina,529
Botswana,3015
Brazil,4794
British Virgin Islands,21114
Brunei Darussalam,17650
Bulgaria,1723
Burkina Faso,238
Burundi,168
Cabo Verde,1434
Cambodia,311
Cameroon,716
Canada,20594
Cayman Islands,40930
CAR,348
Chad,235
Chile,5253
China,592
"China, Hong Kong SAR",23559
"China, Macao SAR",18139
Colombia,2946
Comoros,1016
Congo,789
Cook Islands,5588
Costa Rica,3278
Cote d'Ivoire,764
Croatia,4849
Cuba,2790
Cyprus,15102
Czechia,5771
Dem. People's Rep. Korea,222
Dem. Rep. of the Congo,215
Denmark,35356
Djibouti,788
Dominica,3639
Dominican Republic,1995
Ecuador,2135
Egypt,1032
El Salvador,1590
Equatorial Guinea,427
Eritrea,207
Estonia,3086
Eswatini,1979
Ethiopia,132
Fiji,2570
Finland,26215
France,26707
French Polynesia,20542
Gabon,5081
Gambia,1115
Georgia,539
Germany,31898
Ghana,818
Greece,12687
Greenland,23671
Grenada,2775
Guatemala,1255
Guinea,668
Guinea-Bissau,703
Guyana,1302
Haiti,345
Honduras,828
Hungary,4486
Iceland,26223
India,378
Indonesia,1195
Iran (Islamic Republic of),1888
Iraq,172
Ireland,18958
Israel,18793
Italy,20449
Jamaica,2592
Japan,43118
Jordan,1488
Kazakhstan,1282
Kenya,491
Kiribati,720
Kosovo,2351
Kuwait,16487
Kyrgyzstan,327
Laos,382
Latvia,2154
Lebanon,3793
Lesotho,542
Liberia,101
Libya,5717
Liechtenstein,87414
Lithuania,1848
Luxembourg,52894
Madagascar,277
Malawi,250
Malaysia,4334
Maldives,2229
Mali,295
Malta,9722
Marshall Islands,2379
Mauritania,722
Mauritius,3786
Mexico,3829
Micronesia (Fed. States of),2063
Monaco,100041
Mongolia,730
Montenegro,1958
Montserrat,6728
Morocco,1430
Mozambique,163
Myanmar,180
Namibia,2382
Nauru,3496
Nepal,212
Netherlands,29240
Netherlands Antilles [former],14734
New Caledonia,19024
New Zealand,17184
Nicaragua,893
Niger,188
Nigeria,454
North Macedonia,2373
Norway,34813
Oman,6193
Pakistan,629
Palau,6398
Panama,3354
Papua New Guinea,1486
Paraguay,1694
Peru,2220
Philippines,1176
Poland,3696
Portugal,11639
Puerto Rico,11721
Qatar,15849
Republic of Korea,12277
Republic of Moldova,407
Romania,1640
Russian Federation,2713
Rwanda,208
Saint Kitts and Nevis,6987
Saint Lucia,4199
Saint Vincent & Grenadines,2887
Samoa,1151
San Marino,39407
Sao Tome and Principe,780
Saudi Arabia,7641
Senegal,721
Serbia,2208
Seychelles,8005
Sierra Leone,276
Singapore,25265
Slovakia,3713
Slovenia,10683
Solomon Islands,1015
Somalia,146
South Africa,3741
Spain,15366
Sri Lanka,838
State of Palestine,1254
Sudan,435
Suriname,1903
Sweden,29915
Switzerland,48817
Syrian Arab Republic,944
Tajikistan,211
Thailand,2845
Timor-Leste,503
Togo,389
Tonga,2115
Trinidad and Tobago,4235
Tunisia,2172
Turkey,3985
Turkmenistan,520
Turks and Caicos Islands,12425
Tuvalu,1274
Uganda,348
Ukraine,990
UAE,27198
United Kingdom,23042
United Rep. of Tanzania,260
United States of America,28758
Uruguay,6609
Uzbekistan,589
Vanuatu,1621
Venezuela,3375
Vietnam,276
Yemen,387
Zambia,417
Zanzibar,235
Zimbabwe,846
