"desc","zip","title"
"7/1/2019 0:09, GOLFVIEW DR & SHOAL CREEK DR, WHITPAIN, Station 33",19422,"Fire: FIRE ALARM"
"7/1/2019 0:16, GILBERTSVILLE RD & BOW LN, DOUGLASS, Station 332",19525,"EMS: GENERAL WEAKNESS"
"7/1/2019 0:19, LUTHERAN HOME DR & DEAD END, TELFORD, Station 339",NA,"EMS: HEMORRHAGING"
"7/1/2019 0:21, RT422 BYP & S SANATOGA RD UNDERPASS, LOWER POTTSGROVE",NA,"Traffic: VEHICLE ACCIDENT -"
"7/1/2019 0:29, CRICKET AVE & E ATHENS AVE, LOWER MERION, Station 313",19003,"EMS: HEAD INJURY"
"7/1/2019 0:40, SELMA ST & W AIRY ST, NORRISTOWN, Station 308A",19401,"EMS: CARDIAC EMERGENCY"
"7/1/2019 1:12, CARSON TER & WELSH RD, LOWER MORELAND, Station 355",19006,"EMS: MEDICAL ALERT ALARM"
"7/1/2019 1:22, HIGHLAND AVE & DEAD END, JENKINTOWN, Station 96",NA,"Fire: FIRE ALARM"
"7/1/2019 1:39, HUNTINGDON PIKE & CALVIN RD, LOWER MORELAND, Station 355",19006,"EMS: RESPIRATORY EMERGENCY"
"7/1/2019 1:38, 4TH ST & CHURCH ALY, LANSDALE, Station 345",19446,"EMS: SEIZURES"
"7/1/2019 1:49, BLAIR MILL RD & W MORELAND AVE, UPPER MORELAND, Station 384",19044,"EMS: RESPIRATORY EMERGENCY"
"7/1/2019 2:13, ROCK CREEK RD & IDLEWILD RD, LOWER MERION, Station 24",19035,"Fire: FIRE ALARM"
"7/1/2019 2:43, WASHINGTON LN & GRAVEL PIKE, MARLBOROUGH, Station 344A",18054,"EMS: GENERAL WEAKNESS"
"7/1/2019 2:50, SPRING MILL RD & OLD GULPH RD, LOWER MERION, Station 313A",19085,"EMS: SYNCOPAL EPISODE"
"7/1/2019 2:52, DEKALB PIKE & COLONIAL DR, EAST NORRITON, Station 308",19401,"EMS: BACK PAINS/INJURY"
