desc,zip,title
"7/1/2019 0:09, GOLFVIEW DR & SHOAL CREEK DR, WHITPAIN, Station 33",19422,Fire: FIRE ALARM
"7/1/2019 1:22, HIGHLAND AVE & DEAD END, JENKINTOWN, Station 96",NA,Fire: FIRE ALARM
"7/1/2019 2:13, ROCK CREEK RD & IDLEWILD RD, LOWER MERION, Station 24",19035,Fire: FIRE ALARM
"7/1/2019 4:44, MOUNTAINVIEW AVE & HIGHLAND AVE, SCHWENKSVILLE, Station 73",19473,Fire: GAS-ODOR/LEAK
"7/1/2019 5:07, MAIN ST & N 3RD AVE, ROYERSFORD, Station 98",19468,Fire: FIRE ALARM
"7/1/2019 5:16, LANCASTER AVE & GRIFFIN LN, LOWER MERION, Station 25",NA,Fire: FIRE ALARM
"7/1/2019 6:54, MONTGOMERY AVE & MORRIS AVE, LOWER MERION, Station 23",19010,Fire: GAS-ODOR/LEAK
"7/1/2019 7:30, MONTGOMERY AVE & ST GEORGES RD, LOWER MERION, Station 25",19003,Fire: FIRE ALARM
"7/1/2019 7:35, BRYN MAWR AVE & W LANCASTER AVE, LOWER MERION, Station 23",19010,Fire: FIRE ALARM
"7/1/2019 8:00, BLACK ROCK RD & S TRAPPE RD, UPPER PROVIDENCE, Station 98",19468,Fire: CARDIAC ARREST
"7/1/2019 8:57, HILLDALE RD & BONCOUER RD, CHELTENHAM, Station 4",19012,Fire: FIRE ALARM
"7/1/2019 9:23, BETHLEHEM PIKE & LOWER STATE RD, LOWER GWYNEDD, Station 7",19454,Fire: VEHICLE ACCIDENT
"7/1/2019 9:30, CHEMICAL RD & GALLAGHER RD, PLYMOUTH, Station 43",19462,Fire: FIRE ALARM
"7/1/2019 9:35, PLANK RD, PERKIOMEN, Station 66",NA,Fire: VEHICLE ACCIDENT
"7/1/2019 9:45, WENTZ CHURCH RD & SKIPPACK PIKE, WORCESTER, Station 83",19446,Fire: FIRE SPECIAL SERVICE
"7/1/2019 9:54, VILLAGE DR & S GODDARD BLVD, UPPER MERION, Station 47",19406,Fire: FIRE ALARM
"7/1/2019 11:07, FERNHILL RD & ROSLYN AVE, ABINGTON, Station 500",19038,Fire: UNKNOWN TYPE FIRE
"7/1/2019 12:13, HENDRICKS ST & HECKLER ST, AMBLER, Station 7",19002,Fire: VEHICLE ACCIDENT
"7/1/2019 12:11, TOWNSHIP LINE RD & SPARANGO LN, PLYMOUTH, Station 44",19422,Fire: FIRE ALARM
"7/1/2019 12:50, WESTHILL WAY & RADCLIFF CT, WORCESTER, Station 83",19446,Fire: FIRE SPECIAL SERVICE
"7/1/2019 13:56, SPRING MILL RD & OLD GULPH RD, LOWER MERION, Station 23",19085,Fire: FIRE ALARM
"7/1/2019 15:09, HORSHAM RD, HORSHAM, Station 15",19044,Fire: VEHICLE ACCIDENT
"7/1/2019 15:13, FOUNTAIN RD & ATRIUM WAY, PLYMOUTH, Station 44",19462,Fire: FIRE INVESTIGATION
"7/1/2019 15:39, SANDY HILL RD & HALLOWELL RD, PLYMOUTH, Station 44",19462,Fire: APPLIANCE FIRE
"7/1/2019 15:37, OLD GULPH RD & MILL CREEK RD, LOWER MERION, Station 24",19035,Fire: FIRE ALARM
"7/1/2019 16:35, OAKDALE DR, LOWER POTTSGROVE, Station 58",19464,Fire: VEHICLE ACCIDENT
"7/1/2019 16:35, OAKDALE DR, LOWER POTTSGROVE, Station 58",19464,Fire: VEHICLE ACCIDENT
"7/1/2019 17:02, PENNSYLVANIA TPKE & RIVER RD UNDERPASS, UPPER MERION, Station 44",NA,Fire: VEHICLE ACCIDENT
"7/1/2019 17:24, TULIP LN & KEEBLER RD, UPPER MERION, Station 47",19406,Fire: FIRE ALARM
"7/1/2019 17:28, RIDGE PIKE & BARREN HILL RD, WHITEMARSH, Station 29",19444,Fire: FIRE ALARM
"7/1/2019 17:31, GARDEN RD & YARMOUTH RD, LOWER MERION, Station 21",19096,Fire: FIRE ALARM
"7/1/2019 17:43, WAMBOLD RD, TOWAMENCIN, Station 76",NA,Fire: FIRE POLICE NEEDED
"7/1/2019 18:03, RT422 BYP & RR UNDERPASS, LOWER POTTSGROVE, Station 58",NA,Fire: VEHICLE FIRE
