"State","Expenditures","Fatalities"
"Alabama",2729287,953
"Alaska",1739148,80
"Arizona",2371474,1010
"Arkansas",2577080,516
"California",10917924,3563
"Colorado",2242409,632
"Connecticut",2684739,294
"Delaware",1526700,111
"District of Columbia",NA,31
"Florida",13428305,3133
"Georgia",4611662,1504
"Hawaii",326197,117
"Idaho",832540,231
"Illinois",10973571,1031
"Indiana",2885666,858
"Iowa",2881775,318
"Kansas",1626444,404
"Kentucky",3128637,724
"Louisiana",2405853,768
"Maine",983178,137
"Maryland",4063155,501
"Massachusetts",4252757,360
"Michigan",2374548,974
"Minnesota",2770487,381
"Mississippi",1740323,664
"Missouri",1919832,921
"Montana",865697,182
"Nebraska",1326563,230
"Nevada",1581934,330
"New Hampshire",722165,147
"New Jersey",5106593,564
"New Mexico",986534,391
"New York",7908083,943
"North Carolina",7282563,1437
"North Dakota",1438798,105
"Ohio",6177744,1068
"Oklahoma",3041014,655
"Oregon",1215250,506
"Pennsylvania",12585991,1190
"Rhode Island",535525,59
"South Carolina",3131357,1037
"South Dakota",1030133,130
"Tennessee",2319044,1041
"Texas",17158017,3642
"Utah",1988972,260
"Vermont",NA,68
"Virginia",5280007,820
"Washington",3352911,546
"West Virginia",1753335,294
"Wisconsin",5208935,588
"Wyoming",1211513,111
