Name,Date,Status,Category,Wind,Pressure,TS_diameter,HU_diameter
Alex,7/31/2004 18:00,tropical depression,-1,25,1010,0,0
Alex,8/1/2004 0:00,tropical depression,-1,25,1009,0,0
Alex,8/1/2004 6:00,tropical depression,-1,25,1009,0,0
Alex,8/1/2004 12:00,tropical depression,-1,30,1009,0,0
Alex,8/1/2004 18:00,tropical storm,0,35,1009,57.539,0
Alex,8/2/2004 0:00,tropical storm,0,35,1007,57.539,0
Alex,8/2/2004 6:00,tropical storm,0,40,1005,172.617,0
Alex,8/2/2004 12:00,tropical storm,0,50,992,155.3553,0
Alex,8/2/2004 18:00,tropical storm,0,50,993,143.8475,0
Alex,8/3/2004 0:00,tropical storm,0,60,987,143.8475,0
Alex,8/3/2004 6:00,hurricane,1,70,983,149.6014,46.0312
Alex,8/3/2004 12:00,hurricane,2,85,974,149.6014,46.0312
Alex,8/3/2004 18:00,hurricane,2,85,972,189.8787,57.539
Alex,8/4/2004 0:00,hurricane,1,80,974,178.3709,63.2929
Alex,8/4/2004 6:00,hurricane,1,80,973,224.4021,74.8007
Alex,8/4/2004 12:00,hurricane,2,85,973,224.4021,74.8007
Alex,8/4/2004 18:00,hurricane,2,95,965,258.9255,74.8007
Alex,8/5/2004 0:00,hurricane,3,105,957,258.9255,80.5546
Alex,8/5/2004 6:00,hurricane,3,105,957,345.234,80.5546
Alex,8/5/2004 12:00,hurricane,3,100,962,437.2964,80.5546
Alex,8/5/2004 18:00,hurricane,2,90,970,431.5425,57.539
Alex,8/6/2004 0:00,hurricane,1,75,978,431.5425,57.539
Alex,8/6/2004 6:00,hurricane,1,65,984,431.5425,57.539
Alex,8/6/2004 12:00,tropical storm,0,50,987,431.5425,0
Bonnie,8/3/2004 12:00,tropical depression,-1,25,1010,0,0
Bonnie,8/3/2004 18:00,tropical depression,-1,25,1010,0,0
Bonnie,8/4/2004 0:00,tropical depression,-1,30,1010,0,0
Bonnie,8/4/2004 6:00,tropical depression,-1,30,1010,0,0
Bonnie,8/4/2004 12:00,tropical depression,-1,30,1010,0,0
Bonnie,8/8/2004 12:00,tropical depression,-1,25,1009,0,0
Bonnie,8/8/2004 18:00,tropical depression,-1,25,1008,0,0
Bonnie,8/9/2004 0:00,tropical depression,-1,25,1008,0,0
Bonnie,8/9/2004 6:00,tropical depression,-1,30,1008,0,0
Bonnie,8/9/2004 12:00,tropical storm,0,35,1008,57.539,0
Bonnie,8/9/2004 18:00,tropical storm,0,40,1007,57.539,0
Bonnie,8/10/2004 0:00,tropical storm,0,45,1006,57.539,0
Bonnie,8/10/2004 6:00,tropical storm,0,45,1005,57.539,0
Bonnie,8/10/2004 12:00,tropical storm,0,50,1002,57.539,0
Bonnie,8/10/2004 18:00,tropical storm,0,45,1003,74.8007,0
Bonnie,8/11/2004 0:00,tropical storm,0,40,1003,57.539,0
Bonnie,8/11/2004 6:00,tropical storm,0,40,1003,80.5546,0
Bonnie,8/11/2004 12:00,tropical storm,0,45,1001,97.8163,0
Bonnie,8/11/2004 18:00,tropical storm,0,55,1001,97.8163,0
Bonnie,8/12/2004 0:00,tropical storm,0,50,1007,97.8163,0
Bonnie,8/12/2004 6:00,tropical storm,0,45,1008,97.8163,0
Bonnie,8/12/2004 12:00,tropical storm,0,45,1002,97.8163,0
Bonnie,8/12/2004 18:00,tropical depression,-1,30,1006,0,0
Bonnie,8/13/2004 0:00,tropical depression,-1,25,1008,0,0
Bonnie,8/13/2004 6:00,tropical depression,-1,25,1008,0,0
Bonnie,8/13/2004 12:00,tropical depression,-1,25,1008,0,0
Bonnie,8/13/2004 18:00,tropical depression,-1,25,1008,0,0
Charley,8/9/2004 12:00,tropical depression,-1,30,1010,0,0
Charley,8/9/2004 18:00,tropical depression,-1,30,1009,0,0
Charley,8/10/2004 0:00,tropical depression,-1,30,1009,0,0
Charley,8/10/2004 6:00,tropical storm,0,35,1007,86.3085,0
Charley,8/10/2004 12:00,tropical storm,0,40,1004,143.8475,0
Charley,8/10/2004 18:00,tropical storm,0,45,1000,143.8475,0
Charley,8/11/2004 0:00,tropical storm,0,55,999,143.8475,0
Charley,8/11/2004 6:00,tropical storm,0,55,999,143.8475,0
Charley,8/11/2004 12:00,tropical storm,0,60,995,172.617,0
Charley,8/11/2004 18:00,hurricane,1,65,993,172.617,28.7695
Charley,8/12/2004 0:00,hurricane,1,65,992,172.617,28.7695
Charley,8/12/2004 6:00,hurricane,1,75,988,172.617,23.0156
Charley,8/12/2004 12:00,hurricane,1,80,984,189.8787,40.2773
Charley,8/12/2004 18:00,hurricane,2,90,980,207.1404,46.0312
Charley,8/13/2004 0:00,hurricane,2,90,976,207.1404,46.0312
Charley,8/13/2004 6:00,hurricane,3,105,966,207.1404,46.0312
Charley,8/13/2004 12:00,hurricane,2,95,969,189.8787,46.0312
Charley,8/14/2004 0:00,hurricane,1,75,970,132.3397,46.0312
Charley,8/14/2004 6:00,hurricane,1,75,993,161.1092,69.0468
Charley,8/14/2004 12:00,hurricane,1,65,988,161.1092,46.0312
